job_category;job_title;is_remote;no_degree_needed;has_insurance;schedule_type;job_country;posted_year;posted_month;annual_salary
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;225000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;232375
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;234500
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;240000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;245000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;250000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;79200
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;89100
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;90000
Data Engineer;Staff Data Engineer;0;0;0;Full-time;South Korea;2023;12;99150
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;41600
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;114400
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;117468
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;127213
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;150800
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;187200
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;197600
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;110000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;119900
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;125000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;132500
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;135000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;140000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;150000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;162500
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;165000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;Belgium;2023;12;175000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;41600
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;114400
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;117468
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;127213
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;150800
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;187200
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;197600
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;110000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;119900
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;125000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;132500
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;135000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;140000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;150000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;162500
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;165000
Senior Data Engineer;Senior Azure Data Engineer;0;1;0;Full-time;United States;2023;12;175000
